Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
mazda,2,2012,75000,1,0,7,6700000
mazda,2,2015,100000,1,0,6,7200000
mazda,2,2014,70000,1,0,7,7490000
mazda,2,2015,92500,1,0,7,7800000
mazda,3,2013,101000,1,0,9,6200000
mazda,2,2018,58000,1,0,7,13290000
mazda,2,2011,160000,2,0,7,5800000
mazda,2,2009,150000,2,0,6,6000000
mazda,3,2018,88940,2,0,6,13800000
mazda,3,2014,87300,1,0,7,11500000
mazda,3,2018,40000,2,1,7,15000000
mazda,3,2011,114000,1,1,7,8880000
mazda,3,2016,69331,2,1,7,14990000
mazda,3,2020,33000,2,1,7,18600000
mazda,3,2019,40000,1,1,7,16980000
mazda,3,2014,100000,1,1,7,9600000
mazda,3,2018,66000,1,1,7,14000000
mazda,3,2020,31000,1,1,7,15890000
mazda,3,2021,24200,2,1,12,19990000
mazda,3,2017,97200,1,1,7,15190000
mazda,3,2019,81000,2,1,7,12600000
mazda,3,2019,23700,1,1,7,14290000
mazda,3,2022,2900,2,1,7,19690000
mazda,3,2020,12000,1,1,7,17400000
mazda,3,2019,67000,1,1,11,12690000
mazda,3,2020,19000,1,0,7,17900000
mazda,3,2022,9480,1,1,7,22490000
mazda,3,2019,30800,1,1,7,15280000
mazda,3,2021,12642,1,1,7,16943427
mazda,3,2018,75000,2,1,14,14790000
mazda,3,2020,18000,2,1,7,20490000
mazda,3,2021,28000,2,0,7,20000000
mazda,3,2020,68064,2,1,8,17490000
mazda,3,2020,58500,1,1,7,13700000
mazda,3,2017,75000,1,1,9,12990000
mazda,3,2010,156000,2,1,7,7480000
mazda,3,2016,103000,2,1,9,11390000
mazda,3,2017,105299,1,0,7,11990000
mazda,3,2021,18000,1,0,7,16200000
mazda,3,2017,73000,1,0,7,13050000
mazda,3,2020,36828,1,1,7,16490000
mazda,3,2018,32500,1,0,9,13000000
mazda,3,2017,120000,2,0,7,15990000
mazda,3,2019,43800,2,0,9,17500000
mazda,3,2021,18000,1,1,7,16890000
mazda,3,2019,48000,2,0,7,15950000
mazda,3,2018,40000,2,0,7,16400000
mazda,3,2016,96000,1,0,6,13000000
mazda,3,2018,49500,2,0,11,17690000
mazda,3,2017,52000,2,1,7,15490000
mazda,3,2018,54000,1,0,7,12650000
mazda,3,2018,41000,2,1,7,16790000
mazda,3,2020,8000,2,0,7,18550000
mazda,3,2013,144353,1,0,6,7500000
mazda,3,2018,66300,2,0,7,17300000
mazda,3,2020,34000,1,1,7,17590000
mazda,3,2020,40000,1,0,7,18200000
mg,3,2021,12500,1,0,7,8000000
mg,3,2021,33000,1,1,7,8480000
mg,3,2021,15000,1,1,7,9480000
mg,3,2021,30000,2,1,7,9690000
mg,3,2013,97000,1,1,7,4990000
mg,3,2022,1900,1,1,7,8990000
mg,3,2020,31400,2,0,7,9990000
mg,3,2019,55000,1,0,7,7700000
mg,3,2018,53000,1,0,8,7000000
mg,3,2022,5000,1,0,9,8990000
mg,3,2015,67000,1,0,12,5590000
mg,3,2020,16000,1,1,6,7990000
mg,3,2019,30000,1,0,7,8900000
mg,3,2016,84000,1,0,7,6200000
mg,3,2015,104281,1,0,7,6490000
mg,3,2021,21000,1,0,7,7200000
mg,3,2017,58000,1,0,7,7200000
mg,3,2019,60000,1,0,7,8890000
mg,3,2014,65500,1,0,7,6200000
mg,3,2021,29430,1,0,7,6590000
mg,3,2022,9300,1,0,7,10500000
mg,3,2017,68000,1,0,7,7500000
mg,3,2016,123000,1,0,6,7200000
mg,3,2022,2500,1,0,7,8800000
mg,3,2015,28000,1,0,11,8000000
mg,3,2020,30000,1,0,9,10200000
mg,3,2021,14000,2,0,7,10300000
mg,3,2016,170000,1,0,12,6500000
mg,3,2016,63000,1,0,8,7000000
mg,3,2022,1700,1,0,11,10500000
mg,3,2022,4900,1,0,6,8900000
mg,3,2019,25000,1,0,7,9000000
mg,3,2019,29000,1,0,7,7290000
chery,tiggo-2,2018,64273,1,1,11,8290000
chery,tiggo-2,2020,50177,1,1,7,8490000
chery,tiggo-2,2021,12500,2,1,7,10290000
chery,tiggo-2,2022,8100,1,1,8,9990000
chery,tiggo-2,2022,4000,2,1,7,10990000
chery,tiggo-2,2021,20000,1,1,7,9190000
chery,tiggo-2,2020,20000,1,1,7,8990000
chery,tiggo-2,2017,58000,1,1,7,7700000
chery,tiggo-2,2018,60000,1,1,7,8700000
chery,tiggo-2,2021,50500,1,1,8,8990000
chery,tiggo-2,2021,21300,1,1,8,9990000
chery,tiggo-2,2019,48000,1,1,7,8490000
chery,tiggo-2,2020,61203,1,1,7,8490000
chery,tiggo-2,2017,100000,1,1,11,7190000
chery,tiggo-2,2021,12800,1,1,7,9180000
chery,tiggo-2,2021,12000,1,1,7,9280000
chery,tiggo-2,2022,10463,1,1,7,9980000
chery,tiggo-2,2019,53000,1,0,7,8200000
chery,tiggo-2,2021,18097,1,1,2,8980000
chery,tiggo-2,2019,75306,1,1,6,9490000
chery,tiggo-2,2018,54448,1,0,7,7950000
chery,tiggo-2,2021,11000,1,0,7,10500000
chery,tiggo-2,2021,14500,1,0,6,12900000
chery,tiggo-2,2017,73000,1,1,7,8000000
chery,tiggo-2,2021,15000,1,0,7,9300000
chery,tiggo-2,2022,2936,2,0,7,10500000
chery,tiggo-2,2020,42000,1,0,6,11000000
chery,tiggo-2,2018,44000,1,0,7,7850000
chery,tiggo-2,2021,28350,1,0,4,10550000
chery,tiggo-2,2020,34400,1,0,6,8900000
chery,tiggo-2,2021,29525,1,1,7,9990000
chery,tiggo-2,2019,62000,1,0,6,9690000
chery,tiggo-2,2021,47540,1,1,14,9190000
chery,tiggo-2,2017,56000,1,0,7,7990000
chery,tiggo-2,2021,20100,2,0,7,10290000
chery,tiggo-2,2022,430,1,0,7,11690000
chery,tiggo-2,2021,40800,1,0,7,10500000
chery,tiggo-2,2019,37000,1,0,7,8950000
chery,tiggo-2,2021,42000,2,0,11,11490000
chery,tiggo-2,2018,68000,1,0,8,9450000
chery,tiggo-2,2018,100000,1,0,7,7500000
chery,tiggo-2,2021,15000,1,0,11,11300000
chery,tiggo-2,2022,5800,1,0,7,9550000
chery,tiggo-2,2018,43120,1,0,11,10400000
chery,tiggo-2,2019,50000,1,0,7,9000000
chery,tiggo-2,2021,17000,1,0,7,9300000
chery,tiggo-2,2021,12500,1,0,11,9800000
