Marca,Modelo,Año,Kilometraje,Transmision,Tipo de Vendedor,Región,Precio
mazda,2,2016,"75,000 km",Manual,Automotora Usado,Metropolitana de Santiago,11550000
mazda,2,2016,"26,130 km",Manual,Automotora Usado,Araucanía,10990000
mazda,2,2018,"72,900 km",Manual,Automotora Usado,Metropolitana de Santiago,10590000
mazda,2,2019,"26,000 km",Manual,Particular,Metropolitana de Santiago,12900000
mazda,2,2011,"130,000 km",Manual,Automotora Usado,Metropolitana de Santiago,5890000
mazda,2,2018,"36,000 km",Automática,Automotora Usado,Metropolitana de Santiago,11990000
mazda,2,2009,"135,987 km",Automática,Automotora Usado,Metropolitana de Santiago,5980000
mazda,2,2019,"25,000 km",Manual,Particular,Valparaíso,12290000
mazda,2,2020,"28,000 km",Manual,Particular,Valparaíso,14500000
mazda,2,2018,"51,000 km",Automática,Particular,Metropolitana de Santiago,10900000
mazda,2,2020,"66,133 km",Manual,Automotora Usado,Metropolitana de Santiago,11850000
mazda,2,2020,"48,800 km",Manual,Particular,Maule,12300000
mazda,2,2014,"20,800 km",Manual,Particular,Metropolitana de Santiago,8300000
mazda,3,2013,"118,000 km",Manual,Particular,Metropolitana de Santiago,6290000
mazda,2,2014,"123,000 km",Manual,Particular,Metropolitana de Santiago,7790000
mazda,2,2009,"44,000 km",Manual,Particular,Metropolitana de Santiago,7490000
mazda,3,2013,"160,000 km",Manual,Particular,Metropolitana de Santiago,6850000
mazda,2,2011,"135,000 km",Manual,Particular,Metropolitana de Santiago,5690000
mazda,2,2014,"138,751 km",Manual,Particular,Metropolitana de Santiago,7800000
mazda,2,2019,"22,000 km",Manual,Particular,Metropolitana de Santiago,11250000
mazda,2,2015,"81,600 km",Manual,Particular,Metropolitana de Santiago,8900000
mazda,2,2014,"105,000 km",Manual,Particular,Valparaíso,7500000
mazda,2,2019,"45,000 km",Manual,Particular,Araucanía,11900000
mazda,2,2015,"136,000 km",Manual,Particular,Metropolitana de Santiago,6800000
mazda,2,2018,"67,000 km",Automática,Particular,Metropolitana de Santiago,10500000
mazda,2,2016,"68,000 km",Manual,Particular,Metropolitana de Santiago,10490000
mazda,2,2012,"75,000 km",Manual,Particular,Metropolitana de Santiago,6700000
mazda,2,2015,"100,000 km",Manual,Particular,Valparaíso,7200000
mazda,2,2014,"70,000 km",Manual,Particular,Metropolitana de Santiago,7490000
mazda,2,2015,"92,500 km",Manual,Particular,Metropolitana de Santiago,7800000
mazda,3,2013,"101,000 km",Manual,Particular,Maule,6200000
mazda,2,2018,"58,000 km",Manual,Particular,Metropolitana de Santiago,13290000
mazda,2,2011,"160,000 km",Automática,Particular,Metropolitana de Santiago,5800000
mazda,2,2009,"150,000 km",Automática,Particular,Valparaíso,6000000
